"block","plot","transect","subtransect","location_m","date","litter_cm","duff_cm","fuel_cm"
"E1","E1:EN","E1:EN:N","E1:EN:N:1",13,"2017-06-28",2,0,2
"E1","E1:EN","E1:EN:N","E1:EN:N:1",17,"2017-06-28",5.5,0,5.5
"E1","E1:EN","E1:EN:N","E1:EN:N:1",23,"2017-06-28",1.5,0,1.5
"E1","E1:EN","E1:EN:N","E1:EN:N:1",27,"2017-06-28",0.5,0,7
"E1","E1:EN","E1:EN:N","E1:EN:N:2",3,"2017-06-28",0.5,0.5,4
"E1","E1:EN","E1:EN:N","E1:EN:N:2",7,"2017-06-28",0.5,0,9
"E1","E1:EN","E1:EN:N","E1:EN:N:2",13,"2017-06-28",0.5,0.5,3.5
"E1","E1:EN","E1:EN:N","E1:EN:N:2",17,"2017-06-28",0.5,0,13
"E1","E1:EN","E1:EN:N","E1:EN:N:2",23,"2017-06-28",0.5,0,6
"E1","E1:EN","E1:EN:N","E1:EN:N:2",27,"2017-06-28",0.5,0,11
"E1","E1:EN","E1:EN:N","E1:EN:N:3",3,"2017-06-28",4,0,4
"E1","E1:EN","E1:EN:N","E1:EN:N:3",7,"2017-06-28",0.5,0,1
"E1","E1:EN","E1:EN:N","E1:EN:N:3",13,"2017-06-28",0.5,0,6
"E1","E1:EN","E1:EN:N","E1:EN:N:3",17,"2017-06-28",1,0,1
"E1","E1:EN","E1:EN:N","E1:EN:N:3",23,"2017-06-28",1,0,6
"E1","E1:EN","E1:EN:N","E1:EN:N:3",27,"2017-06-28",0,0,5
