"","block","plot","transect","subtransect","subsubtransect","time","date","slope_percent","litter_cm","duff_cm","fuel_cm","x1h_count","x10h_count","x100h_count","sum_d2_1000r_cm2","sum_d2_1000s_cm2"
"136","E1","E1:CN","E1:CN:N","E1:CN:N:2","E1:CN:N:2:23","pre",2017-06-28,6,1.5,0.5,1.5,0,1,1,0,3687
"137","E1","E1:CN","E1:CN:N","E1:CN:N:2","E1:CN:N:2:3","post",2019-07-30,6,0.5,0,2,13,2,1,0,181
"138","E1","E1:CN","E1:CN:N","E1:CN:N:2","E1:CN:N:2:3","pre",2017-06-28,6,0,0.5,0,0,6,3,0,3687
"139","E1","E1:CN","E1:CN:N","E1:CN:N:3","E1:CN:N:3:13","post",2019-07-30,2,2,1,4,23,5,1,0,666
"140","E1","E1:CN","E1:CN:N","E1:CN:N:3","E1:CN:N:3:13","pre",2017-06-28,2,1.5,0.75,1.5,1,4,3,841,9238
"141","E1","E1:CN","E1:CN:N","E1:CN:N:3","E1:CN:N:3:23","post",2019-07-30,2,1,0,1,1,2,1,0,666
"142","E1","E1:CN","E1:CN:N","E1:CN:N:3","E1:CN:N:3:23","pre",2017-06-28,2,1.25,1.75,1.25,0,0,2,841,9238
"143","E1","E1:CN","E1:CN:N","E1:CN:N:3","E1:CN:N:3:3","post",2019-07-30,2,0,0.5,0,0,0,0,0,666
"144","E1","E1:CN","E1:CN:N","E1:CN:N:3","E1:CN:N:3:3","pre",2017-06-28,2,1.5,0.75,1.5,1,5,2,841,9238
"145","E1","E1:CN","E1:CN:S","E1:CN:S:1","E1:CN:S:1:13","post",2019-07-30,6,0.25,0,0.25,9,2,0,0,405
"146","E1","E1:CN","E1:CN:S","E1:CN:S:1","E1:CN:S:1:13","pre",2017-06-28,6,1.5,0,6,0,1,0,25,2280
"147","E1","E1:CN","E1:CN:S","E1:CN:S:1","E1:CN:S:1:23","post",2019-07-30,6,0.5,0,4,10,2,1,0,405
"148","E1","E1:CN","E1:CN:S","E1:CN:S:1","E1:CN:S:1:23","pre",2017-06-28,6,1,0,5,0,1,1,25,2280
"149","E1","E1:CN","E1:CN:S","E1:CN:S:1","E1:CN:S:1:3","post",2019-07-30,6,0,0,7,49,6,0,0,405
"150","E1","E1:CN","E1:CN:S","E1:CN:S:1","E1:CN:S:1:3","pre",2017-06-28,6,0.5,0,4,3,1,0,25,2280
"151","E1","E1:CN","E1:CN:S","E1:CN:S:2","E1:CN:S:2:13","post",2019-07-30,14,0.5,0,0.5,14,3,0,0,892
"152","E1","E1:CN","E1:CN:S","E1:CN:S:2","E1:CN:S:2:13","pre",2017-06-28,14,2.75,1.25,3.5,1,3,0,0,3282
"153","E1","E1:CN","E1:CN:S","E1:CN:S:2","E1:CN:S:2:23","post",2019-07-30,14,0.5,0.5,2.5,5,4,2,0,892
"154","E1","E1:CN","E1:CN:S","E1:CN:S:2","E1:CN:S:2:23","pre",2017-06-28,14,5.25,0.25,14.5,4,2,3,0,3282
"155","E1","E1:CN","E1:CN:S","E1:CN:S:2","E1:CN:S:2:3","post",2019-07-30,14,0,0,0,4,6,0,0,892
"156","E1","E1:CN","E1:CN:S","E1:CN:S:2","E1:CN:S:2:3","pre",2017-06-28,14,3,0.5,7.5,2,6,3,0,3282
"157","E1","E1:CN","E1:CN:S","E1:CN:S:3","E1:CN:S:3:13","post",2019-07-30,11,1,0,1,10,9,1,0,128
"158","E1","E1:CN","E1:CN:S","E1:CN:S:3","E1:CN:S:3:13","pre",2017-06-28,11,1.5,0.5,5.5,16,3,0,0,2675
"159","E1","E1:CN","E1:CN:S","E1:CN:S:3","E1:CN:S:3:23","post",2019-07-30,11,0,0,0,6,4,0,0,128
"160","E1","E1:CN","E1:CN:S","E1:CN:S:3","E1:CN:S:3:23","pre",2017-06-28,11,1.25,0,4.5,0,1,1,0,2675
"161","E1","E1:CN","E1:CN:S","E1:CN:S:3","E1:CN:S:3:3","post",2019-07-30,11,0,0,0,27,2,1,0,128
"162","E1","E1:CN","E1:CN:S","E1:CN:S:3","E1:CN:S:3:3","pre",2017-06-28,11,1,0,5,3,0,2,0,2675
"163","E1","E1:EG","E1:EG:M","E1:EG:M:1","E1:EG:M:1:13","post",2019-07-30,16,0.25,0,0.25,4,5,0,0,1121
"164","E1","E1:EG","E1:EG:M","E1:EG:M:1","E1:EG:M:1:13","pre",2017-07-11,16,0.75,0,0.75,1,3,1,225,3294
"165","E1","E1:EG","E1:EG:M","E1:EG:M:1","E1:EG:M:1:23","post",2019-07-30,16,2.5,0,4,0,2,1,0,1121
"166","E1","E1:EG","E1:EG:M","E1:EG:M:1","E1:EG:M:1:23","pre",2017-07-11,16,0,0,0,1,2,0,225,3294
"167","E1","E1:EG","E1:EG:M","E1:EG:M:1","E1:EG:M:1:3","post",2019-07-30,16,0,0,16,7,5,1,0,1121
"168","E1","E1:EG","E1:EG:M","E1:EG:M:1","E1:EG:M:1:3","pre",2017-07-11,16,1.25,1,1.25,0,2,1,225,3294
"169","E1","E1:EG","E1:EG:M","E1:EG:M:2","E1:EG:M:2:13","post",2019-07-30,20,2.5,0,4,15,5,6,0,1802
"170","E1","E1:EG","E1:EG:M","E1:EG:M:2","E1:EG:M:2:13","pre",2017-07-11,20,0.5,1,1.5,1,3,2,2425,2169
"171","E1","E1:EG","E1:EG:M","E1:EG:M:2","E1:EG:M:2:23","post",2019-07-30,20,1.5,0,18,50,10,4,0,1802
"172","E1","E1:EG","E1:EG:M","E1:EG:M:2","E1:EG:M:2:23","pre",2017-07-11,20,0,0,2,0,3,0,2425,2169
"173","E1","E1:EG","E1:EG:M","E1:EG:M:2","E1:EG:M:2:3","post",2019-07-30,20,0,0,1,8,6,3,0,1802
"174","E1","E1:EG","E1:EG:M","E1:EG:M:2","E1:EG:M:2:3","pre",2017-07-11,20,1.5,2,1.5,0,2,4,2425,2169
"175","E1","E1:EG","E1:EG:N","E1:EG:N:1","E1:EG:N:1:13","post",2019-07-30,20,1,0,1,8,3,1,400,0
"176","E1","E1:EG","E1:EG:N","E1:EG:N:1","E1:EG:N:1:13","pre",2017-07-10,20,3,0.25,4.75,1,4,1,625,1613
"177","E1","E1:EG","E1:EG:N","E1:EG:N:1","E1:EG:N:1:23","post",2019-07-30,20,0,0,0,1,1,1,400,0
"178","E1","E1:EG","E1:EG:N","E1:EG:N:1","E1:EG:N:1:23","pre",2017-07-10,20,1,0,1.25,0,0,0,625,1613
"179","E1","E1:EG","E1:EG:N","E1:EG:N:1","E1:EG:N:1:3","post",2019-07-30,20,0,0,0,10,4,1,400,0
"180","E1","E1:EG","E1:EG:N","E1:EG:N:1","E1:EG:N:1:3","pre",2017-07-10,20,1.25,0.25,2,0,1,0,625,1613
"181","E1","E1:EG","E1:EG:N","E1:EG:N:2","E1:EG:N:2:13","post",2019-07-30,30,0,0,3,3,3,0,0,256
"182","E1","E1:EG","E1:EG:N","E1:EG:N:2","E1:EG:N:2:13","pre",2017-07-10,30,1.25,1.5,2.25,5,4,1,0,4321
"183","E1","E1:EG","E1:EG:N","E1:EG:N:2","E1:EG:N:2:23","post",2019-07-30,30,0,0,0,3,1,0,0,256
"184","E1","E1:EG","E1:EG:N","E1:EG:N:2","E1:EG:N:2:23","pre",2017-07-10,30,1.5,5,2,2,5,0,0,4321
"185","E1","E1:EG","E1:EG:N","E1:EG:N:2","E1:EG:N:2:3","post",2019-07-30,30,0.5,0,1.5,20,0,0,0,256
